model,score_val,pred_time_val,fit_time_marginal,fit_order,trial
WeightedEnsemble,-0.7767383078345609,1.7461924209880333,0.2806481249863282,7,classical
AutoARIMA,-0.7826111586408396,1.4991068840026855,2.7558960914611816,5,classical
DynamicOptimizedTheta,-0.8421074607539599,0.14948296546936035,0.3141038417816162,3,classical
Theta,-0.8491025312076922,0.674562931060791,4.388189077377319,2,classical
AutoETS,-0.8499917836503327,0.23043608665466309,0.4747159481048584,4,classical
AutoCES,-0.8559503933471223,11.206238031387329,23.531443119049072,6,classical
SeasonalNaive,-1.0150850985921644,0.015967130661010742,3.4997689723968506,1,classical
WeightedEnsemble,-0.7230370679673853,0.6130234750453383,0.09868216700851917,3,zeroshot_chronos
Chronos_bolt_base[bolt_base],-0.7230370679673853,0.6128897666931152,3.1700351238250732,2,zeroshot_chronos
Chronos_bolt_small[bolt_small],-0.7560869265961051,0.4676051139831543,4.055746793746948,1,zeroshot_chronos
WeightedEnsemble,-0.7342001938153221,0.2700313306801642,0.1931906669633463,5,global_covariates
PerStepTabular,-0.7369576172670887,0.22500824928283691,70.04811263084412,3,global_covariates
DirectTabular,-0.8033741260257313,0.04453706741333008,6.8457019329071045,2,global_covariates
RecursiveTabular,-0.9202364374779329,0.11625480651855469,5.395354270935059,1,global_covariates
DeepAR,-1.252669336081489,0.14501190185546875,212.45529913902283,4,global_covariates
WeightedEnsemble,-0.7029661087117036,0.9751891956742232,0.5058892499655485,11,ensemble
Toto2,-0.7079112748652099,0.03592514991760254,4.0187907218933105,8,ensemble
Chronos2SmallFineTuned,-0.7163815636984777,0.8982551097869873,154.53075695037842,6,ensemble
Chronos2,-0.7473458925633198,2.0179221630096436,13.346375942230225,5,ensemble
DirectTabular,-0.7986772970950867,0.040389060974121094,8.696738004684448,3,ensemble
DynamicOptimizedTheta,-0.8421074607539599,0.14717721939086914,3.078408718109131,4,ensemble
AutoETS,-0.8499917836503327,0.2512679100036621,3.030696153640747,7,ensemble
RecursiveTabular,-0.9332933624890402,0.11431598663330078,18.358850955963135,2,ensemble
SeasonalNaive,-1.0150850985921644,0.018587112426757812,3.732891798019409,1,ensemble
DeepAR,-1.381307272626881,0.16332077980041504,202.18923711776733,10,ensemble
TemporalFusionTransformer,-1.4140848860348336,0.025372982025146484,252.6095678806305,9,ensemble
Chronos_ft[bolt_small],-0.6913655243426892,0.042342185974121094,822.3784577846527,1,chronos_finetune
WeightedEnsemble,-0.7029414277170897,0.9801190707366914,0.45823274995200336,11,high_quality
Toto2,-0.7079112748652099,0.03965020179748535,1.3755826950073242,8,high_quality
Chronos2SmallFineTuned,-0.7163167806356231,0.8974041938781738,138.32791471481323,6,high_quality
Chronos2,-0.7473458925633198,2.017183303833008,6.688775539398193,5,high_quality
DirectTabular,-0.7986772970950867,0.042320966720581055,9.233251094818115,3,high_quality
DynamicOptimizedTheta,-0.8421074607539599,0.72218918800354,3.4000279903411865,4,high_quality
AutoETS,-0.8499917836503327,0.24344110488891602,1.4381837844848633,7,high_quality
RecursiveTabular,-0.9332933624890402,0.1166532039642334,19.95243263244629,2,high_quality
SeasonalNaive,-1.0150850985921644,0.018639087677001953,4.007830619812012,1,high_quality
DeepAR,-1.3373164738386638,0.1607358455657959,218.72422623634338,10,high_quality
TemporalFusionTransformer,-1.655383500048977,0.027307987213134766,228.15592503547668,9,high_quality
