model,window,dept_id,MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE
naive,1,CARDIOLOGY,1.326993732440026,1.290253144623197,42.97440177938019,14.285714285714286,18.094987466936015,77.23080136928007,-11.428571428571429,-71.72508761952749
mean,1,CARDIOLOGY,1.1763055864006617,1.1101285924321573,39.99776453481923,12.663485221674877,15.568854104683153,65.62990769853674,-6.750769704433499,-53.87406737631943
seasonal_naive,1,CARDIOLOGY,0.8360060514372164,0.7755017603130611,31.842686794228786,9.0,10.875923606099589,32.979016783701525,0.2857142857142857,-5.603431387128481
drift,1,CARDIOLOGY,1.351622564334989,1.313948342521569,43.463891577814685,14.550855293573742,18.427297688991565,78.68833491983962,-11.91346894744953,-73.62612761536973
seasonal_mean_4w,1,CARDIOLOGY,0.6402744759023126,0.5871030386878758,23.976674681135876,6.892857142857143,8.233750230432234,22.82210315901621,1.6785714285714286,5.672229954445374
naive,1,ELECTIVE_SURGERY,1.9497502125850341,1.7552814396887217,66.10399582704198,17.071428571428573,22.375049880231714,814.5353461933576,-8.642857142857142,-798.1614508268862
mean,1,ELECTIVE_SURGERY,2.4934670763510143,1.8036250468542263,95.11267027772166,21.832050492610836,22.991298988357823,455.57525282676136,10.131927339901475,-386.8739466806278
seasonal_naive,1,ELECTIVE_SURGERY,0.9218484268707482,0.9455711321617186,34.04945004734013,8.071428571428571,12.053452380364485,26.341151393677816,5.642857142857143,19.39556933310239
drift,1,ELECTIVE_SURGERY,1.935317592179806,1.7713328740932128,65.44470512259777,16.94506087224534,22.579661879953786,826.0075482749942,-9.284173216212054,-811.1938216745381
seasonal_mean_4w,1,ELECTIVE_SURGERY,1.0054674213435375,0.9800694988592862,35.290898876088484,8.803571428571429,12.493212442877018,34.381043436014394,7.75,7.046741294105003
naive,1,EMERGENCY,0.6452878488187004,0.5877782896234087,18.748215780292746,19.178571428571427,23.095299459908656,21.942746368642883,-16.892857142857142,-20.15051197491065
mean,1,EMERGENCY,1.6415827847332212,1.3047827444499693,40.48386404494629,48.789408866995075,51.26822263629485,53.18833111188817,-48.789408866995075,-53.18833111188817
seasonal_naive,1,EMERGENCY,0.5082993669465741,0.5029447985082405,15.069660794480763,15.107142857142858,19.761976477207796,16.703189556716836,-4.892857142857143,-7.453025441764464
drift,1,EMERGENCY,0.6227662465547825,0.5655575764548036,18.18200163574464,18.509207890275853,22.22219129327243,21.129549715116717,-15.751001695176454,-18.94823641169859
