step,start,end,flu_factor,PH_stat,PH_alarm,KS_p,KS_alarm,MASE_breach,trigger_fired,promoted,champion_data_cutoff
1,2025-01-01,2025-01-28,1.112,0.0,False,,False,False,False,False,2024-12-31
2,2025-01-29,2025-02-25,1.1707,1.6281,False,0.004422,True,False,True,False,2024-12-31
3,2025-02-26,2025-03-25,1.1789,0.0,False,3e-05,True,False,True,True,2025-02-25
4,2025-03-26,2025-04-22,1.1289,4.4787,False,0.00132,True,False,True,False,2025-02-25
5,2025-04-23,2025-05-20,1.0638,0.0,False,0.018661,False,False,False,False,2025-02-25
6,2025-05-21,2025-06-17,1.0217,49.8733,True,0.006456,True,False,True,False,2025-02-25
7,2025-06-18,2025-07-15,1.0051,68.4048,True,0.233318,False,False,True,False,2025-02-25
8,2025-07-16,2025-08-12,1.0008,105.9064,True,0.018661,False,False,True,False,2025-02-25
9,2025-08-13,2025-09-09,1.0001,145.7494,True,0.013262,False,False,True,False,2025-02-25
10,2025-09-10,2025-10-07,1.0,193.0458,True,0.006456,True,False,True,False,2025-02-25
11,2025-10-08,2025-11-04,1.0,245.4576,True,0.02594,False,False,True,True,2025-10-07
12,2025-11-05,2025-12-02,1.0,8.5829,True,0.515925,False,False,True,False,2025-10-07
13,2025-12-03,2025-12-30,1.0,10.4416,False,0.515925,False,False,False,False,2025-10-07
