step,start,end,strategy,flu_factor,MASE,worst_dept_MASE,sMAPE,MAE,ME,PICP80_native,PICP80_conformal
1,2025-01-01,2025-01-28,NEVER,1.112,1.3071783872978653,2.3531344027864267,35.780903642358275,19.712085190669654,15.206991645082054,0.9583333333333334,
1,2025-01-01,2025-01-28,ALWAYS,1.112,1.3071783872978653,2.3531344027864267,35.780903642358275,19.712085190669654,15.206991645082054,0.9583333333333334,
1,2025-01-01,2025-01-28,TRIGGERED,1.112,1.3071783872978653,2.3531344027864267,35.780903642358275,19.712085190669654,15.206991645082054,0.9583333333333334,0.8095238095238095
2,2025-01-29,2025-02-25,NEVER,1.1707,0.9943435546474158,1.9516685600686496,29.511022831237042,15.531641825312727,5.939213108617186,0.9761904761904763,
2,2025-01-29,2025-02-25,ALWAYS,1.1707,0.9754886529339845,1.8501800370830837,30.70528073888583,15.083068262438635,5.5898808334874515,0.9583333333333335,
2,2025-01-29,2025-02-25,TRIGGERED,1.1707,0.9943435546474158,1.9516685600686496,29.511022831237042,15.531641825312727,5.939213108617186,0.9761904761904763,0.9285714285714286
3,2025-02-26,2025-03-25,NEVER,1.1789,1.046338254681185,1.7532767319998344,30.369915328744813,15.94336151871297,-4.379585270332097,0.9702380952380953,
3,2025-02-26,2025-03-25,ALWAYS,1.1789,1.0493636707007683,1.8080113532181457,32.173482366217634,16.11429106224509,-6.600734770902615,0.9642857142857144,
3,2025-02-26,2025-03-25,TRIGGERED,1.1789,1.046338254681185,1.7532767319998344,30.369915328744813,15.94336151871297,-4.379585270332097,0.9702380952380953,0.8988095238095238
4,2025-03-26,2025-04-22,NEVER,1.1289,1.1075788501869557,1.9641647652416914,30.25166365400214,17.7546645789245,-11.975777471020487,0.9702380952380953,
4,2025-03-26,2025-04-22,ALWAYS,1.1289,1.134256660135091,2.1718156113825016,31.124437313968283,18.676747569207446,-14.216990177825075,0.9464285714285715,
4,2025-03-26,2025-04-22,TRIGGERED,1.1289,1.1014941313719455,2.0739384484710586,31.483313325414496,18.02067629020784,-13.112792875624345,0.9464285714285715,0.8690476190476191
5,2025-04-23,2025-05-20,NEVER,1.0638,1.0654889188893881,1.7028609880497452,33.382119681607705,15.852883918370376,-9.51310308161912,0.9821428571428572,
5,2025-04-23,2025-05-20,ALWAYS,1.0638,1.1198033522587236,1.9985039692794913,36.072440111537134,16.5881821478669,-10.330546584862168,0.8630952380952381,
5,2025-04-23,2025-05-20,TRIGGERED,1.0638,1.093294773729782,1.8895313018716278,34.75681399201877,16.16417514443039,-9.878570032595093,0.9464285714285715,0.8988095238095238
6,2025-05-21,2025-06-17,NEVER,1.0217,0.6436901797766204,0.8261066524557371,26.50402663645102,8.884476541795168,1.9030302496693523,0.9940476190476191,
6,2025-05-21,2025-06-17,ALWAYS,1.0217,0.7591072320851158,1.0819155483128147,34.49606747908643,10.270237260254289,3.7053563550591377,0.8214285714285715,
6,2025-05-21,2025-06-17,TRIGGERED,1.0217,0.7310637373816214,0.9876124182150728,32.53983251459445,9.869662040884583,3.6121542163596345,0.9583333333333334,0.9523809523809523
7,2025-06-18,2025-07-15,NEVER,1.0051,0.7961575099106503,1.0508887222425385,31.657190287548588,10.733732090636558,-2.481245687566457,0.9821428571428572,
7,2025-06-18,2025-07-15,ALWAYS,1.0051,0.8168939824370497,1.0463428281719642,32.25457170126729,11.100089638729857,-3.664655254273379,0.9761904761904763,
7,2025-06-18,2025-07-15,TRIGGERED,1.0051,0.7935088867806552,1.1061926964605404,31.639457030858512,10.109829817612246,-1.2464211412004216,0.9642857142857143,0.9285714285714286
8,2025-07-16,2025-08-12,NEVER,1.0008,0.7147075415887798,1.1325226311841399,24.67016593873242,7.958848609442755,1.2143865801688805,0.9880952380952381,
8,2025-07-16,2025-08-12,ALWAYS,1.0008,0.7034311997475465,1.108344797884126,25.28947207688377,7.858452331544645,-1.2468785489833432,0.9880952380952381,
8,2025-07-16,2025-08-12,TRIGGERED,1.0008,0.6967151819905193,1.0871596430200936,24.441085259325064,7.640312386598286,1.6943024348979867,0.9583333333333334,0.9583333333333334
9,2025-08-13,2025-09-09,NEVER,1.0001,0.7975061568613383,1.1433423216130103,30.758337466234963,9.720552442200347,1.1830004768861784,1.0,
9,2025-08-13,2025-09-09,ALWAYS,1.0001,0.8287016669398602,1.2917974522384563,32.070619732212926,10.099415173393393,2.113592038087026,0.8869047619047619,
9,2025-08-13,2025-09-09,TRIGGERED,1.0001,0.8224082928116047,1.2735788262196739,31.857592569326812,10.007854896256845,2.0572696811794957,0.9345238095238096,0.8511904761904762
10,2025-09-10,2025-10-07,NEVER,1.0,0.7219447370279709,0.9966993433625455,27.209922466813357,8.459526606090817,1.0384788467743216,0.9880952380952381,
10,2025-09-10,2025-10-07,ALWAYS,1.0,0.7207599380084275,0.9816817630092517,26.57704785978997,8.434392373253884,1.3034753170551385,0.9583333333333334,
10,2025-09-10,2025-10-07,TRIGGERED,1.0,0.7349184964497474,0.9668052730962906,27.739676562377742,8.730603816983464,3.2126920065147644,0.9523809523809524,0.9047619047619048
11,2025-10-08,2025-11-04,NEVER,1.0,0.8762823274519889,0.948766640371459,28.237151627157072,11.489036141182458,2.783103213512573,0.9821428571428572,
11,2025-10-08,2025-11-04,ALWAYS,1.0,0.8745873158201919,0.9452227334634605,28.742043596008156,11.444719626732214,2.3746984022758157,0.9642857142857144,
11,2025-10-08,2025-11-04,TRIGGERED,1.0,0.9128440357403947,1.015989505086122,30.869558603096266,12.05331774666596,4.005669348394278,0.9345238095238096,0.8511904761904762
12,2025-11-05,2025-12-02,NEVER,1.0,0.8892255519307115,1.2697696119309732,32.40851013626778,12.704620768667574,4.024566927373081,1.0,
12,2025-11-05,2025-12-02,ALWAYS,1.0,0.8626897260883895,1.1973163635278983,30.8970142115228,12.234111918156621,3.418622312444081,0.9761904761904762,
12,2025-11-05,2025-12-02,TRIGGERED,1.0,0.874494080626861,1.1706094269860305,31.415979645166342,12.251457663245894,3.051673710875471,0.9761904761904763,0.8869047619047619
13,2025-12-03,2025-12-30,NEVER,1.0,0.8385109773969094,1.254371236182839,27.985172872138122,11.281682487580676,0.2688715511475775,0.9821428571428572,
13,2025-12-03,2025-12-30,ALWAYS,1.0,0.8282737834711265,1.2300464765764074,27.567875291555087,11.167551807490428,-0.6764615163801097,0.9761904761904763,
