h,MAE,ME,N
1,9.942773714968208,-0.7783325042253664,36
2,9.087781052039976,5.560783602573254,36
3,8.613069785812508,-0.31535956285004757,36
4,8.137339698679654,2.6791799840490516,36
5,11.072636373739675,3.5406900423544427,36
6,12.23778979866593,-2.8012939823998355,36
7,11.952030023429622,0.5604372745678758,36
8,9.145432437398306,3.648490817949115,36
9,9.592810424757593,-1.3816578515763145,36
10,7.110366912505018,-2.6755915112149555,36
11,3.948408795298372,-0.19008375704288502,36
12,10.210098583511854,2.669370087085928,36
13,8.363811373710632,1.7931463036517543,36
14,10.500652284779175,2.947450067771316,36
15,10.215554128949044,-0.8812055788903564,36
16,11.169155317569468,3.3380945763960783,36
17,8.725209159860887,4.649666395452288,36
18,3.246102247893075,0.28224404254322716,36
19,12.958195660830524,3.197795716823374,36
20,11.872856559086237,5.3009819287822095,36
21,12.822179587780205,2.325958652751437,36
22,11.88890697043619,-5.849449761119889,36
23,12.25010679190051,-1.7767585726922428,36
24,8.36541615267104,-2.015984138772811,36
25,4.595221398053346,0.3326840243712361,36
26,11.904917600223557,2.0342833917327394,36
27,9.027301185906177,0.0993433449984602,36
28,9.842671195175422,-0.6133275139969561,36
